type_id	role	category	origin	note
0	none	unassigned	original_gHBfix	Not assigned to a gHBfix donor or acceptor category
1	donor	NH	original_gHBfix	NH donor hydrogen
2	donor	2primeOH	original_gHBfix	2'-OH donor hydrogen
3	acceptor	nbO	original_gHBfix	Nonbridging phosphate oxygen
4	acceptor	bO	original_gHBfix	Bridging phosphate oxygen
5	acceptor	2primeOH	original_gHBfix	Ribose O2' acceptor
6	acceptor	O4prime	original_gHBfix	Ribose O4' acceptor
7	acceptor	O	original_gHBfix	Nucleobase oxygen acceptor
8	acceptor	N	original_gHBfix	Nucleobase nitrogen acceptor
17	donor	NH2	this_study	NH2 donor hydrogen; 17 is an arbitrary implementation identifier
